customer_id,name,email,phone,city
e954f46b-830c-432e-93e6-7c71ae0bd2f9,Mrs. Joan Foster,brownbianca@example.org,+1-967-682-7141,Bruceport
7105dda5-d8d2-42cf-9f9e-95d6b930a31b,Cassandra Aguilar,robertsonsusan@example.net,876-739-2364,South Nicole
3b128cfa-a99c-4b82-afa3-d4984ff263e6,Amy Matthews,anthony99@example.org,(590)698-9042x6485,North David
3e86a034-fd46-42af-8bb0-befd1e5a3e36,Nicholas Davidson,joel37@example.org,547.753.5136,West Kristen
237c0e47-2295-40c6-8da6-624b78011286,Elizabeth Green,parsonsnicole@example.net,506-457-8984x28263,Mcguirechester
8a22043f-10ff-4b2a-9571-f4606e401477,Steven Oliver,rjohnson@example.com,001-421-831-0495,Chavezberg
63719b6e-8eb9-41e1-a848-8383744dfe8e,Alexandra Foster,denise07@example.net,+1-329-407-1727x4969,Charlesview
b77f11c0-c176-45ee-a055-5d5590d94f2a,Rachel Gray,holmesmegan@example.net,980-523-8996x4236,Laurenville
844cf74d-e426-4d23-8cc3-932814eb7ea9,Michelle Murray,wwilkerson@example.org,+1-708-616-8237x324,South Christopher
4186e00d-049a-4a13-ab7f-079de30a1c68,Gabrielle Matthews,michelle93@example.com,762-590-6676,Davidmouth
159dec9b-8b9b-4257-bdfc-ff067bb536cf,Tommy Peterson,guzmantony@example.org,001-690-948-5802x89568,Reyesbury
295cc314-b1c3-4ac2-984a-2ec314b65676,Lisa Clark,pgreen@example.com,515-427-6842,New Margaretland
2612a3a7-d290-4d3d-ae39-5d86a082e5c4,Samantha Brown,melanieholloway@example.org,904-846-2875,Chavezchester
1fc609c4-f48a-4411-89a5-fc93ef5233a0,Patricia Francis,christopherrobinson@example.net,368.273.3587x7571,North Angelamouth
183c1532-d4a3-44b1-a7e7-9118c5c70b5f,Martin Dickerson,leebrenda@example.net,+1-348-724-2612x52429,Brianhaven
955d6b94-cee4-442b-860e-a0bd93cf42f8,Mark Richmond,aaronadams@example.org,001-816-252-3711,North Andrea
0a6698ca-c535-4f9c-8510-673e85b12c24,Kevin Parsons,martinkimberly@example.com,001-743-771-5502,New Michaelton
c9d60f5f-648c-41dc-aa3f-6ca5ac08a872,Peter Cervantes,richardcoleman@example.net,(622)890-8090x103,Millerberg
e486c0fd-b67c-4523-983d-afbedc9eba4d,Mark Simmons,juliebrown@example.net,+1-346-260-3886,West Brenda
a2481b89-123a-45bb-8f38-178b0684d6f3,Tiffany Rice,trevor50@example.com,341-623-6444x4059,West Monica
b1e1116d-daf4-4dc2-98a8-aaf541350cef,Brian Ray,connie72@example.com,364-491-2465x0352,North Brianchester
1e30cf6b-0323-44db-a6d7-5477c8676786,Angela Smith,melissaandersen@example.com,551-309-5086,Jessicatown
ae4bcee4-013a-499a-be1e-dabec8a5d69b,Justin Moody,deannablack@example.net,+1-214-596-2793x7170,Courtneyborough
93f019f7-f5e1-4a4b-9b95-1e76db2f3a3b,Cynthia Morales,castrovalerie@example.org,(314)998-1139x626,North Ericshire
af778344-b208-450a-b094-18978a2eb62f,Victoria English,robertferguson@example.org,+1-470-727-9699x5522,New Arielbury
4ee98e82-f1fd-4695-814b-4c1be413ff68,Chase Richardson,xmoore@example.org,+1-737-624-3440x7781,Daychester
137aea81-9535-4cc0-9891-001ff4a6491a,Tyler Olson,wangmatthew@example.net,835.875.2797,Jeromehaven
8bf548eb-b8b0-42c5-8dbe-39476692aef0,Renee Smith,cohenjames@example.net,+1-509-816-9739x801,West Jaredfort
ceb47868-d246-443f-b7f3-be20f99fd66e,Michaela Burch,blackteresa@example.org,431.218.0214x98256,Coxstad
f4b2fcbf-e3a8-4c0c-bfd0-ccb66b2bf958,Colleen Stein,bscott@example.org,001-887-587-9410x8146,Lake Aliciabury
2013a596-995e-4ccb-a9e2-de23aa3bdd59,Jessica Hernandez,zacharyevans@example.org,409-685-6300x771,Bishoptown
77aba870-9c1e-4ced-8d94-ac2a340ed731,Tyrone Owen,prussell@example.net,(724)428-4033x611,West Johnathanville
1ea0c7d3-465c-434a-90c2-738347284c38,Keith Walker,vrasmussen@example.org,225-998-0179,Steventon
c5bb4b61-40d5-4079-8381-0aa5815effc9,Scott Johnson,rayeaton@example.net,(730)487-5717x5349,Websterburgh
5af0474b-96a1-4267-8d7f-f891ed99f5c2,Lauren Williams,nkirk@example.org,921-904-9429,Toddburgh
7a0eec6a-d493-4fb1-9a46-91dc513090de,Katie Bailey,icox@example.net,326.882.5487x9924,Joelland
963a7a05-228a-4976-a8bb-41e614be9c78,William Bernard,thomas42@example.net,+1-976-447-9412x960,West Kristinhaven
f2e18087-ae33-4cf8-b843-bba7389558d9,Michelle Gonzalez,gestrada@example.com,695-565-7734,Murphychester
d9e4102e-a3c9-4c3a-8919-2aa19cc9f539,Sarah Ross,garyhernandez@example.com,907.686.7903,Morrisshire
401714ff-2cab-436d-a52b-a14d3998a4c3,Margaret Mitchell,kathleen05@example.com,001-916-501-8509x60760,Jonathanmouth
c514b0ba-a7d7-455c-9811-fae299c9f7c9,Amanda Travis,erica92@example.com,001-680-431-3707x7267,North Reginald
6715624c-74d9-4d3e-9eb2-42318c075b90,Deborah Cobb,bruce40@example.net,449-588-1432x94636,Littleburgh
2bb78fca-f0d4-4b95-9891-9486c0c9c80e,Olivia Combs,rcharles@example.net,613-583-7435x520,New Michaelstad
2a406b68-b470-451a-a3a0-8c686d4479e2,Kevin Davis,briannafranco@example.com,9464853984,Steelemouth
4de3a291-0516-479e-ad98-984631ab7b6a,Alex Hicks,williamsjohn@example.org,+1-506-360-4849x99573,Darrellport
9cdf085b-59e4-4438-b5c4-df7db19e4da5,Ashlee Wright,hawkinsjason@example.net,001-838-950-2946x8907,Davidburgh
6d204921-d2f0-4c87-9bac-648535eeb5e2,Yvonne Brown,jeremy94@example.com,5235458147,Mooreberg
4917b8f9-1e66-4ffb-ba31-3355003511b7,Joseph Moss,wolfandrea@example.com,(741)670-2065,South David
4ef6bc91-64a6-4f65-aadb-7ea41ca7929e,Tara Clark,dawntucker@example.com,+1-367-700-8319x809,North Justin
6ae7b4df-d868-4f84-8ed4-b140b4e0e374,Colleen Gomez,mendozawilliam@example.net,+1-398-481-8319x6582,Glassfort
b6260f64-1219-490d-9d47-e67482e95f82,Alexander Murphy,kellyrobert@example.net,693.396.5959,Patriciachester
73a0dd4e-de7a-4737-b032-114deb92a200,Kelli Kelley,lori46@example.org,(522)374-8934,West Kimberly
3b9aa344-c838-4181-8d00-357989a0da79,John Burns,isabellafleming@example.net,702.452.9173,South Steven
ba8863f3-70a0-4633-adc3-5dc1aabac5e0,Patricia Jenkins,lopezphyllis@example.org,001-363-931-4190x097,Briantown
c905d84f-621e-4149-b272-5b6a446ff03f,Erica Thomas,tammycabrera@example.net,(996)757-1464,Port Daniel
016736e3-59af-4449-91de-648e4ae36a8d,Joseph Day,matthewcontreras@example.org,309.831.8666x37222,Leonardborough
a35b4589-a3b9-48c7-b07e-5797fb213d68,Denise Garcia,rileykelly@example.net,248.512.5673x55847,Adamsville
3f6de2b2-aa11-4ea0-a8c2-468513c4be3f,James Carrillo,jamesmills@example.net,(542)771-9108,Jamesview
e2bc528b-9e78-450b-894c-4f2fea20f5e2,Zachary Spears,sgonzalez@example.net,6345772978,Steeleport
61f67ae0-a91e-455f-a3f1-7381c1f01048,Steven Baird,robert35@example.org,619-347-7812x596,Garyton
645abb95-d63b-428d-8a04-7f7514cfad79,Shane Sanchez,deborahlee@example.net,(609)876-7711x23913,New Dominiquefort
08785cba-a2ff-4b6f-9fd5-aa6cfb7cd45a,Melissa Hodge,kelli64@example.org,848-583-2265x772,West Jasonhaven
28fd9fbf-ccc3-4dc9-bff6-b97f8ea30ced,Gabrielle Baker,mario59@example.org,586.745.7631x3805,Meganhaven
b623284a-2014-40eb-8655-2591bf04f831,James Wilson MD,tonyhernandez@example.net,519.785.1045x96645,South David
65e637f4-e1e3-4bd8-aa35-b97cc85fa7ea,Maria Cannon,crystal12@example.net,001-308-755-1906,Port Gregory
1b697bcc-5c77-4a1f-b6c0-dbdcbbee22ad,Jasmine Ellison,austinmegan@example.net,001-936-508-5088,East Henry
e3f40df6-860f-44a0-af82-64e78dfe532b,Natalie Bowman,harry82@example.net,739.599.4967,Dominicfurt
67c44577-79f1-454c-8bd9-774746650328,Sherry Rice MD,charles06@example.com,+1-905-241-5987x65357,Mirandahaven
afee322d-a137-4608-b82e-3ccb19daac25,Cody White,martinezjorge@example.org,(561)730-8006,Jenniferberg
5fad7be3-b924-40fb-a971-910fadb70a0f,Ashley Smith,vedwards@example.net,+1-250-232-5098x95174,East Dustin
4e15b70b-5faf-46c1-b5cb-0b57faaa742a,Mary Crane,jesusedwards@example.com,(473)228-2996,North Davidton
0dd1410c-32e5-4483-b277-af44a617b74f,Mark Suarez,gardnerchristopher@example.com,9564674035,Coffeyside
981a5790-cb76-4cd8-b398-1819b8dd7bf0,James Rivera,melissa79@example.org,207.598.3757x3206,Lake Kelly
d04fd8e5-f56a-4d00-b318-4f0a861100db,Susan Patel,murphyraven@example.org,+1-254-860-6882x0940,New Stevenfort
7761544f-33c2-470f-bd3e-c8e61f82cf90,Lucas Jimenez,stevenbeltran@example.com,(381)784-5612x541,Lisaland
8b30af76-ed98-465e-85b4-3529af36404c,Karen Conway,morganmichael@example.com,(506)932-0631x75589,Reyesmouth
